experiment,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
random_forest_rich548,2019,4839,506,0.5592885375494071,0.5887156527359576,0.6808652580109468,0.2438846246733662,0.03879005382608501
random_forest_rich548,2020,5345,444,0.6148648648648649,0.6873258344690113,0.6411449646146387,0.22493450595490835,0.07070055277963772
random_forest_rich548,2021,5789,497,0.6156941649899397,0.6549392712550608,0.655193902014208,0.2315490356577878,0.05609230565161207
random_forest_rich548,2022,6286,506,0.6126482213438735,0.6624765478424014,0.6521543320184586,0.23015820046384627,0.021412522358785532
random_forest_rich548,2023,6792,504,0.6031746031746031,0.6396043505674653,0.6609329865570218,0.2345470990774551,0.03993002082345508
random_forest_rich548,2024,7296,513,0.594541910331384,0.6476171613139131,0.6611844860746444,0.23418729395055443,0.04957319628328997
extra_trees_rich548,2019,4839,506,0.5632411067193676,0.6006022102060442,0.678390181241611,0.24233871675915186,0.04445752429207046
extra_trees_rich548,2020,5345,444,0.6103603603603603,0.66228667900657,0.6510777625837544,0.22988943253553226,0.024968096910381408
extra_trees_rich548,2021,5789,497,0.6237424547283702,0.6580647773279352,0.6584771575358649,0.2325463753396247,0.044098258142208246
extra_trees_rich548,2022,6286,506,0.6126482213438735,0.6567229518449031,0.6611356594276793,0.233315538246755,0.04059449556047722
extra_trees_rich548,2023,6792,504,0.6011904761904762,0.6336459646910467,0.6644191194506749,0.23597380240756968,0.05347654310272917
extra_trees_rich548,2024,7296,513,0.594541910331384,0.6244743738192455,0.673789467643259,0.23971242119522476,0.026210092428895975
gradient_boosting_rich548,2019,4839,506,0.567193675889328,0.5986473917361625,0.6754243832080783,0.24142201079023679,0.037527387627432525
gradient_boosting_rich548,2020,5345,444,0.6396396396396397,0.6830339889754491,0.6483794320657766,0.2281478448228031,0.05975400308116953
gradient_boosting_rich548,2021,5789,497,0.6257545271629779,0.6599352226720647,0.6568127193987389,0.2322412505974413,0.04192611707351601
gradient_boosting_rich548,2022,6286,506,0.6126482213438735,0.6632582864290181,0.6546050149431212,0.23129229371938906,0.03837247472768048
gradient_boosting_rich548,2023,6792,504,0.6031746031746031,0.6354665825977301,0.6626122460561154,0.23525634877152676,0.03696741115223763
gradient_boosting_rich548,2024,7296,513,0.6023391812865497,0.6322521177402645,0.6662271847271178,0.2368061553623748,0.027436811831795582
hist_gradient_rich548,2019,4839,506,0.5691699604743083,0.6028250279822804,0.6843138433342042,0.24508075299506227,0.06101553779092756
hist_gradient_rich548,2020,5345,444,0.6396396396396397,0.6938754754591869,0.6342830414230544,0.2219802497831078,0.045157210883745545
hist_gradient_rich548,2021,5789,497,0.6277665995975855,0.6609554655870444,0.6538648859757277,0.2309049848818144,0.03738843073104145
hist_gradient_rich548,2022,6286,506,0.6067193675889329,0.6599749843652283,0.6512905027525726,0.22997134022822818,0.028279514936070456
hist_gradient_rich548,2023,6792,504,0.5753968253968254,0.6172525220680958,0.6770344358958553,0.2417651752356473,0.05296870341273022
hist_gradient_rich548,2024,7296,513,0.6042884990253411,0.64357974282406,0.6619075569904648,0.2345398163475576,0.03631235637872372
xgboost_rich548,2019,4839,506,0.5632411067193676,0.5986079800734634,0.677064542711449,0.24218204014751088,0.04178116620764902
xgboost_rich548,2020,5345,444,0.6418918918918919,0.693550027459675,0.6386930501350572,0.22362085072803078,0.05147022599572532
xgboost_rich548,2021,5789,497,0.6177062374245473,0.6614898785425101,0.653082664248985,0.23051371381498842,0.022055544363900684
xgboost_rich548,2022,6286,506,0.6106719367588933,0.6615540963101938,0.6515771899451528,0.23000910715245865,0.016984172135944893
xgboost_rich548,2023,6792,504,0.6150793650793651,0.6471232660781842,0.6579233190105187,0.2331975947372527,0.053674109161846215
xgboost_rich548,2024,7296,513,0.6179337231968811,0.6444786397708575,0.6605168762968652,0.2341082664797149,0.0651290001924972
