fighter_id,canonical_name,display_name,alias_name,identity_source
ufcp-7bf0a5e0-ae12-5a56-87c5-3efa9a97fdd9,alberto mina,Alberto Mina,Alberto Mina,UFC-DataLab/UFCStats-derived name
ufcp-1dd70fe6-76ca-56d7-8cde-1237aa9614bb,alberto montes,Alberto Montes,ALBERTO MONTES,UFC-DataLab/UFCStats-derived name
ufcp-1dd70fe6-76ca-56d7-8cde-1237aa9614bb,alberto montes,Alberto Montes,Alberto Montes,UFC-DataLab/UFCStats-derived name
ufcp-f89dfa3a-a34f-547b-a473-c1e90e522f5a,alberto uda,Alberto Uda,ALBERTO UDA,UFC-DataLab/UFCStats-derived name
ufcp-f89dfa3a-a34f-547b-a473-c1e90e522f5a,alberto uda,Alberto Uda,Alberto Uda,UFC-DataLab/UFCStats-derived name
ufcp-4189fa85-4c60-53dd-92a1-81a528d500b7,alden coria,Alden Coria,ALDEN CORIA,UFC-DataLab/UFCStats-derived name
ufcp-760250f4-5d93-5847-98c3-51574f731e52,alejandro flores,Alejandro Flores,Alejandro Flores,UFC-DataLab/UFCStats-derived name
ufcp-454ec33a-6423-5a41-95c3-f89290c79eb5,alejandro garcia,Alejandro Garcia,Alejandro Garcia,UFC-DataLab/UFCStats-derived name
ufcp-02d51dec-09cb-5cef-84ee-5dc17d0a43d1,alejandro perez,Alejandro Perez,ALEJANDRO PEREZ,UFC-DataLab/UFCStats-derived name
ufcp-02d51dec-09cb-5cef-84ee-5dc17d0a43d1,alejandro perez,Alejandro Perez,Alejandro Perez,UFC-DataLab/UFCStats-derived name
ufcp-e7d353f8-b3cb-5b31-97f4-b65208d4da44,alejandro villalobos,Alejandro Villalobos,Alejandro Villalobos,UFC-DataLab/UFCStats-derived name
ufcp-d4fc5b90-f5a6-56de-9602-edca09c28315,aleksa camur,Aleksa Camur,Aleksa Camur,UFC-DataLab/UFCStats-derived name
ufcp-d4fc5b90-f5a6-56de-9602-edca09c28315,aleksa camur,Aleksa Camur,ALEKSA CAMUR,UFC-DataLab/UFCStats-derived name
ufcp-d267ee3c-13d6-54f5-895f-cd99037999df,aleksandar rakic,Aleksandar Rakic,Aleksandar Rakic,UFC-DataLab/UFCStats-derived name
ufcp-d267ee3c-13d6-54f5-895f-cd99037999df,aleksandar rakic,Aleksandar Rakic,ALEKSANDAR RAKIC,UFC-DataLab/UFCStats-derived name
ufcp-aeec2425-e5b5-5c30-a27b-0430cb96313c,aleksander emelianenko,Aleksander Emelianenko,Aleksander Emelianenko,UFC-DataLab/UFCStats-derived name
ufcp-50a58d1e-665b-53e5-a071-f4fe28da2c7c,aleksandra albu,Aleksandra Albu,Aleksandra Albu,UFC-DataLab/UFCStats-derived name
ufcp-50a58d1e-665b-53e5-a071-f4fe28da2c7c,aleksandra albu,Aleksandra Albu,ALEKSANDRA ALBU,UFC-DataLab/UFCStats-derived name
